gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained,acmg_sf,panelapp_CHD,panelapp_COND,panelapp_DERM,panelapp_HL,panelapp_HYPOTO,panelapp_IEM,panelapp_PULM,panelapp_REN,panelapp_SEIZ,panelapp_SK,n_panelapp_panels,combined_actionability_v2
SCNN1A,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,"PULM, REN",0.4113475177304964,high,56.0,0.7645390070921986,5.1789e-18,0.88817,1.105,0.28764,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8145390070921986
SCNN1B,2,4.0,1.0,3.0,1.0,0.6,1,1,1,0.0,"PULM, REN",0.4871794871794871,high,51.0,0.7948717948717948,1.4648e-09,0.63148,0.81,1.5213,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8448717948717949
SCNN1G,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,"PULM, REN",0.3157894736842105,high,36.0,0.2113157894736842,0.81009,0.38019,0.531,1.4668,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2613157894736842
SCO1,1,2.0,0.85,1.0,0.1416666666666666,0.1416666666666666,1,0,0,0.0,"IEM, HYPOTO",0.2,high,12.0,0.165,1.393e-05,0.80446,1.207,-0.56878,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.165
SCO2,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"IEM, SEIZ, HYPOTO",0.430379746835443,high,30.0,0.6221518987341772,0.011755,0.93624,1.761,-1.4378,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6221518987341772
SCP2,1,1.0,0.5,1.0,0.0416666666666666,0.0416666666666666,1,0,0,0.0,"SEIZ, HYPOTO",0.5,medium,4.0,0.225,8.1505e-06,0.66645,0.944,0.80305,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.225
SDHAF2,1,2.0,0.4,2.0,0.1333333333333333,0.1333333333333333,1,0,1,1.0,,0.1428571428571428,high,10.0,0.1371428571428571,1.4249e-08,1.1212,1.608,0.41197,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.2371428571428571
SDHB,1,4.0,0.6,2.0,0.3999999999999999,0.3999999999999999,1,0,1,1.0,,0.5791245791245792,high,99.0,0.4716498316498316,0.027807,0.48155,0.741,0.43592,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5716498316498316
SDHC,1,3.0,0.6,2.0,0.3,0.3,1,0,1,1.0,,0.2716763005780346,high,33.0,0.2886705202312138,0.048191,0.51139,0.892,1.5652,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.38867052023121385
SDHD,1,4.0,1.0,3.0,1.0,1.0,1,1,1,1.0,,0.5469613259668509,high,73.0,0.8187845303867404,0.90513,0.25386,0.581,0.80794,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
