disease_id,disease_name,source
OMIM:102520,Acrorenal syndrome,HPO_root
OMIM:200980,Acrorenal-Mandibular syndrome,HPO_root
OMIM:201400,"Acth deficiency, isolated",HPO_root
OMIM:174770,Actinic prurigo,HPO_root
ORPHA:397596,Activated PI3K-delta syndrome,HPO_root
ORPHA:693661,Activated PI3K-delta syndrome 1,HPO_root
ORPHA:693681,Activated PI3K-delta syndrome 2,HPO_root
ORPHA:95409,Acute adrenal insufficiency,HPO_root
ORPHA:529799,Acute bilirubin encephalopathy,HPO_root
ORPHA:83597,Acute disseminated encephalomyelitis,HPO_root
ORPHA:363549,Acute encephalopathy with biphasic seizures and late reduced diffusion,HPO_root
ORPHA:318,Acute erythroid leukemia,HPO_root
ORPHA:293173,Acute generalized exanthematous pustulosis,HPO_root
ORPHA:466794,Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,HPO_root
ORPHA:98916,Acute inflammatory demyelinating polyradiculoneuropathy,HPO_root
ORPHA:79276,Acute intermittent porphyria,HPO_root
ORPHA:79126,Acute interstitial pneumonia,HPO_root
ORPHA:90062,Acute liver failure,HPO_root
ORPHA:178320,Acute lung injury,HPO_root
ORPHA:514,Acute monoblastic/monocytic leukemia,HPO_root
ORPHA:517,Acute myelomonocytic leukemia,HPO_root
ORPHA:86843,Acute panmyelosis with myelofibrosis,HPO_root
ORPHA:90064,Acute peripheral arterial occlusion,HPO_root
ORPHA:520,Acute promyelocytic leukemia,HPO_root
OMIM:612376,Acute promyelocytic leukemia,HPO_root
ORPHA:454831,Acute radiation syndrome,HPO_root
ORPHA:139417,Acute transverse myelitis,HPO_root
ORPHA:284454,Acute zonal occult outer retinopathy,HPO_root
ORPHA:99901,Acyl-CoA dehydrogenase 9 deficiency,HPO_root
OMIM:201450,"Acyl-Coa dehydrogenase, medium-chain, deficiency of",HPO_root
OMIM:201470,"Acyl-Coa dehydrogenase, short-chain, deficiency of",HPO_root
OMIM:102650,"Adactylia, unilateral",HPO_root
ORPHA:55881,Adamantinoma,HPO_root
OMIM:102660,Adamantinoma of long bones,HPO_root
ORPHA:974,Adams-Oliver syndrome,HPO_root
OMIM:100300,Adams-Oliver syndrome 1,HPO_root
OMIM:614219,Adams-Oliver syndrome 2,HPO_root
OMIM:614814,Adams-Oliver syndrome 3,HPO_root
OMIM:615297,Adams-Oliver syndrome 4,HPO_root
OMIM:616028,Adams-Oliver syndrome 5,HPO_root
OMIM:616589,Adams-Oliver syndrome 6,HPO_root
ORPHA:85138,Addison disease,HPO_root
OMIM:201550,Adducted thumbs syndrome,HPO_root
OMIM:614723,Adenine phosphoribosyltransferase deficiency,HPO_root
ORPHA:976,Adenine phosphoribosyltransferase deficiency,HPO_root
ORPHA:424016,Adenocarcinoma of the anal canal,HPO_root
ORPHA:99976,Adenocarcinoma of the oesophagus and oesophagogastric junction,HPO_root
ORPHA:95512,Adenohypophysitis,HPO_root
OMIM:175100,Adenomatous polyposis coli,HPO_root
ORPHA:45,Adenosine monophosphate deaminase deficiency,HPO_root
OMIM:102900,"Adenosine triphosphate, elevated, of erythrocytes",HPO_root
OMIM:612631,"Adenylate kinase deficiency, hemolytic anemia due to",HPO_root
OMIM:103050,Adenylosuccinase deficiency,HPO_root
ORPHA:46,Adenylosuccinate lyase deficiency,HPO_root
ORPHA:482601,Adenylosuccinate synthetase-like 1-related distal myopathy,HPO_root
OMIM:103100,Adie pupil,HPO_root
OMIM:612556,Adiponectin deficiency,HPO_root
ORPHA:36397,Adiposis dolorosa,HPO_root
OMIM:103200,Adiposis dolorosa,HPO_root
