orpha_code,name,disorder_type,group,synonyms,geo_prevalence
163637,"Rare disorder related with pregnancy, childbirth and puerperium",Category,Group of disorders,,Global
104,Leber hereditary optic neuropathy,Disease,Disorder,LHON|Leber optic atrophy,Global
163631,Bile acid synthesis defect with cholestasis and malabsorption,Category,Group of disorders,,Global
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,Clinical subtype,Subtype of disorder,Bickers-Adams syndrome|HSAS|X-linked HSAS|X-linked acqueductal stenosis|X-linked hydrocephalus|X-linked hydrocephalus with stenosis of aqueduct of Sylvius,Global
163634,Maffucci syndrome,Disease,Disorder,"Multiple Enchondromatosis, Maffucci Type|Multiple Enchondromatosis type II|Enchondromatosis Spranger type II",Global
163717,Familial mesial temporal lobe epilepsy,Disease,Disorder,FLTLE,Global
163708,Cryptogenic late-onset epileptic spasms,Disease,Disorder,Late-onset infantile spasms,Global
636,Neurofibromatosis type 1,Disease,Disorder,Nonmosaic neurofibromatosis type 1|Von Recklinghausen disease|Nonmosaic NF1,Global
163703,Febrile infection-related epilepsy syndrome,Disease,Disorder,AERRPS|Acute encephalitis with refractory repetitive partial seizures|Acute non-herpetic encephalitis with severe refractory status epilepticus|DESC syndrome|Devastating epileptic encephalopathy in school-aged children|FIRES|Fever-induced refractory epileptic encephalopathy in school-aged children,Global
649,Norrie disease,Malformation syndrome,Disorder,Atrophia bulborum hereditaria|Episkopi blindness|Norrie-Warburg disease,Global
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,Disease,Disorder,Rolandic epilepsy exercise-induced dystonia,Global
163721,Rolandic epilepsy-speech dyspraxia syndrome,Disease,Disorder,,Global
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,Disease,Disorder,,Global
163681,CNTNAP2-related developmental and epileptic encephalopathy,Disease,Disorder,CDFE syndrome|CDFES|Cortical dysplasia-focal epilepsy syndrome|CNTNAP2-related DEE,Global
379,Chronic granulomatous disease,Disease,Disorder,CGD|Chronic septic granulomatosis,Global
163678,OBSOLETE: Unclassified spondylometaphyseal dysplasia,Disease,Disorder,,Global
16,Blue cone monochromatism,Disease,Disorder,"Atypical X-linked achromatopsia|Blue cone monochromacy|Color blindness, blue monocone monochromatic type|S cone monochromacy|S cone monochromatism|X-linked incomplete achromatopsia",Global
644,NARP syndrome,Disease,Disorder,Neurogenic muscle weakness-ataxia-retinitis pigmentosa syndrome|Neuropathy-ataxia-retinitis pigmentosa syndrome,Global
163699,Alveolar soft tissue sarcoma,Disease,Disorder,Alveolar soft part sarcoma|ASPS,Global
637,Full NF2-related schwannomatosis,Disease,Disorder,Nonmosaic neurofibromatosis type 2|Nonmosaic NF2-related schwannomatosis|Full NF2|Full neurofibromatosis type 2,Global
163696,Action myoclonus-renal failure syndrome,Disease,Disorder,AMRF|Progressive myoclonus epilepsy type 4|EPM4|Myoclonus-nephropathy syndrome|Progressive myoclonic epilepsy type 4,Global
181,X-linked hypohidrotic ectodermal dysplasia,Etiological subtype,Subtype of disorder,Christ-Siemens-Touraine syndrome|XHED,Global
163693,2p21 microdeletion syndrome,Disease,Disorder,2p21 deletion syndrome|Del(2)(p21)|Monosomy 2p21,Global
163690,Hypotonia-cystinuria syndrome,Disease,Disorder,HCS,Global
