gene_symbol,n_diseases,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,mean_actionability,is_pediatric,is_category_a,meets_ngsr,inheritance_code,panels,pathogenic_fraction,clinical_actionability,n_pathogenic,combined_actionability
WNT7A,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,,0.5384615384615384,high,10.0,0.30038461538461536
WRAP53,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,DERM,0.2631578947368421,high,18.0,0.19026315789473683
WRN,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.2984293193717277,high,98.0,0.7193717277486911
WT1,3,4.0,1.0,3.0,1.0,0.7999999999999999,1,1,1,1.0,REN,0.3710247349823322,high,91.0,0.7484098939929329
XPA,1,4.0,1.0,3.0,1.0,1.0,1,1,1,0.0,DERM,0.4242424242424242,high,26.0,0.7696969696969697
XPC,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,DERM,0.2175925925925926,high,43.0,0.537037037037037
YARS2,1,2.0,0.85,1.0,0.14166666666666666,0.14166666666666666,1,0,0,0.0,"AN_TH, IEM, HYPOTO",0.5511811023622047,high,56.0,0.3054724409448819
ZAP70,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,AN_TH,0.2894736842105263,high,20.0,0.5657894736842105
ZEB2,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,SEIZ,0.5633187772925764,high,240.0,0.6753275109170305
ZFPM2,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,1.0,,0.2916666666666667,high,12.0,0.1416666666666667
ZIC2,1,3.0,1.0,3.0,0.75,0.75,1,1,1,1.0,SEIZ,0.44,high,20.0,0.626
ZIC3,1,3.0,1.0,3.0,0.75,0.75,1,1,1,2.0,CHD,0.62,high,29.0,0.698
ZMPSTE24,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,"SK, HYPOTO",0.3289473684210526,high,48.0,0.581578947368421
ZNF252P,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,1.0,THYR,,,,0.024999999999999998
ZNF469,1,3.0,1.0,3.0,0.75,0.75,1,1,1,0.0,,0.5015873015873016,high,306.0,0.6506349206349206
ZNF674,1,1.0,0.5,1.0,0.041666666666666664,0.041666666666666664,1,0,0,2.0,,0.2068965517241379,medium,6.0,0.10775862068965517
