gene_symbol,pLI,lof_oe,LOEUF,mis_z,hi_intolerant,loeuf_constrained
TIGD4,1.9516e-06,0.77959,1.123,0.83633,0,0
SLC50A1,1.9511e-06,0.75036,1.071,1.1891,0,0
TECRL,1.9485e-06,1.034,1.563,-0.78184,0,0
CLN8,1.9452e-06,0.81387,1.183,-0.59713,0,0
N6AMT1,1.9439e-06,1.4438,1.915,-1.6313,0,0
SAMD7,1.9376e-06,0.81411,1.183,0.093358,0,0
MFSD11,1.9374e-06,0.68389,0.955,0.51143,0,0
TMEM41A,1.9309e-06,0.81432,1.183,0.30361,0,0
B4GALT4,1.9295e-06,0.66691,0.925,1.0985,0,0
ZNF33B,1.9245e-06,0.62601,0.854,1.1949,0,0
SMYD5,1.9217e-06,0.61506,0.834,1.3579,0,0
ACAT2,1.9103e-06,0.70384,0.99,0.84893,0,0
TRIL,1.9071e-06,0.72606,1.029,-1.4925,0,0
C5ORF63,1.8966e-06,1.7471,1.956,0.41698,0,0
LRFN1,1.8943e-06,0.7812,1.125,1.1108,0,0
PLET1,1.8877e-06,0.96351,1.444,0.0092232,0,0
F11R,1.8856e-06,0.65242,0.9,1.078,0,0
PNMA1,1.8843e-06,0.78149,1.125,0.48947,0,0
PATE4,1.8812e-06,1.4516,1.917,-0.26447,0,0
GPA33,1.8784e-06,0.68503,0.957,0.027111,0,0
HARS1,1.8771e-06,0.68506,0.957,2.2929,0,0
MON1A,1.8759e-06,0.6267,0.854,2.2905,0,0
REEP6,1.875e-06,0.90502,1.342,-0.94465,0,0
SOWAHB,1.8719e-06,0.90516,1.342,-1.7164,0,0
MAP3K9,1.87e-06,0.52575,0.674,1.6109,0,0
OPRD1,1.8672e-06,0.9645,1.445,0.20565,0,0
ICAM1,1.8658e-06,0.6391,0.876,1.1327,0,0
RHOBTB2,1.8612e-06,0.5738,0.761,3.1376,0,0
ARHGAP12,1.853e-06,0.52939,0.681,1.0082,0,0
UPK1B,1.8431e-06,0.72757,1.031,0.22354,0,0
