gene_id,gene_name
NCBIGene:146845,CFAP52
NCBIGene:220136,CFAP53
NCBIGene:144535,CFAP54
NCBIGene:149465,CFAP57
NCBIGene:159686,CFAP58
NCBIGene:26074,CFAP61
NCBIGene:255101,CFAP65
NCBIGene:79846,CFAP69
NCBIGene:118491,CFAP70
NCBIGene:85452,CFAP74
NCBIGene:89876,CFAP91
NCBIGene:629,CFB
NCBIGene:55997,CFC1
NCBIGene:1675,CFD
NCBIGene:3075,CFH
NCBIGene:3078,CFHR1
NCBIGene:10878,CFHR3
NCBIGene:81494,CFHR5
NCBIGene:3426,CFI
NCBIGene:1073,CFL2
NCBIGene:5199,CFP
NCBIGene:1080,CFTR
NCBIGene:283489,CHAMP1
NCBIGene:100507217,CHASERR
NCBIGene:1103,CHAT
NCBIGene:400916,CHCHD10
NCBIGene:51142,CHCHD2
NCBIGene:1105,CHD1
NCBIGene:1106,CHD2
NCBIGene:1107,CHD3
NCBIGene:1108,CHD4
NCBIGene:26038,CHD5
NCBIGene:84181,CHD6
NCBIGene:55636,CHD7
NCBIGene:57680,CHD8
NCBIGene:1111,CHEK1
NCBIGene:11200,CHEK2
NCBIGene:1116,CHI3L1
NCBIGene:26511,CHIC2
NCBIGene:1119,CHKA
NCBIGene:1120,CHKB
NCBIGene:1121,CHM
NCBIGene:5119,CHMP1A
NCBIGene:25978,CHMP2B
NCBIGene:128866,CHMP4B
NCBIGene:1123,CHN1
NCBIGene:11261,CHP1
NCBIGene:91851,CHRDL1
NCBIGene:1131,CHRM3
NCBIGene:1134,CHRNA1
NCBIGene:1135,CHRNA2
NCBIGene:1136,CHRNA3
NCBIGene:1137,CHRNA4
NCBIGene:1139,CHRNA7
NCBIGene:1140,CHRNB1
NCBIGene:1141,CHRNB2
NCBIGene:1144,CHRND
NCBIGene:1145,CHRNE
NCBIGene:1146,CHRNG
NCBIGene:50515,CHST11
NCBIGene:113189,CHST14
NCBIGene:9469,CHST3
NCBIGene:4166,CHST6
NCBIGene:22856,CHSY1
