gene_symbol,mim_number,entry_type
ENPEP,138297.0,gene
GSR,138300.0,gene
GPX2,138319.0,gene
GPX1,138320.0,gene
GPX3,138321.0,gene
GPX4,138322.0,gene
MGST1,138330.0,gene
GSTM4,138333.0,gene
GSTM1,138350.0,gene
GSTA1,138359.0,gene
GSTA2,138360.0,gene
GSTM2,138380.0,gene
GSTM5,138385.0,gene
GSTM3,138390.0,gene
GAPDH,138400.0,gene
GPD1,138420.0,gene
GPD2,138430.0,gene
GART,138440.0,gene
SHMT2,138450.0,gene
CFB,138470.0,gene
GLRA1,138491.0,gene
GLRB,138492.0,gene
PYGB,138550.0,gene
GYS1,138570.0,gene
GYS2,138571.0,gene
GYPE,138590.0,gene
ORM1,138600.0,gene
ORM2,138610.0,gene
A1BG,138670.0,gene
AHSG,138680.0,gene
APOH,138700.0,gene
GP1BB,138720.0,gene
GLO1,138750.0,gene
HAGH,138760.0,gene
GNRHR,138850.0,gene
GSC,138890.0,gene
GRN,138945.0,gene
CSF2,138960.0,gene
CXCL6,138965.0,gene
CSF3,138970.0,gene
CSF3R,138971.0,gene
CEBPG,138972.0,gene
CSF2RB,138981.0,gene
SLC25A16,139080.0,gene
CXCL2,139110.0,gene
CXCL3,139111.0,gene
GNB3,139130.0,gene
NR4A1,139139.0,gene
RASA1,139150.0,gene
GNAZ,139160.0,gene
GNAI2P1,139180.0,gene
GAS1,139185.0,gene
GHRH,139190.0,gene
GHRHR,139191.0,gene
GC,139200.0,gene
GH2,139240.0,gene
GH1,139250.0,gene
MT3,139255.0,gene
GSPT1,139259.0,gene
GDA,139260.0,gene
GMPR,139265.0,gene
GUK1,139270.0,gene
GUK2,139280.0,predominantly phenotypes
GNAI1,139310.0,gene
GNAO1,139311.0,gene
GNAL,139312.0,gene
GNA11,139313.0,gene
GNA15,139314.0,gene
GNAS,139320.0,gene
GNAT1,139330.0,gene
GNAT2,139340.0,gene
KRT1,139350.0,gene
GNAI2,139360.0,gene
GNAI3,139370.0,gene
GNB1,139380.0,gene
GNB2,139390.0,gene
GNGT2,139391.0,gene
GUCA2A,139392.0,gene
GNAT3,139395.0,gene
GUCY1A1,139396.0,gene
GUCY1B1,139397.0,gene
HES1,139605.0,gene
GZMA,140050.0,gene
HP,140100.0,gene
HPR,140210.0,gene
HSPA1A,140550.0,gene
HSPA6,140555.0,gene
HSPA7,140556.0,gene
HSPA1L,140559.0,gene
HSPA2,140560.0,gene
HSP90AA1,140571.0,gene
HSP90AB1,140572.0,gene
HSP90AA2P,140575.0,gene
HSF1,140580.0,gene
HSF2,140581.0,gene
DENND2B,140750.0,gene
NCKAP1L,141180.0,gene
HMOX1,141250.0,gene
HMOX2,141251.0,gene
HBA1,141800.0,gene
HBA2,141850.0,gene
HBB,141900.0,gene
HBD,142000.0,gene
HBE1,142100.0,gene
HBG1,142200.0,gene
H1-3,142210.0,gene
H1-4,142220.0,gene
CD34,142230.0,gene
HBQ1,142240.0,gene
HBG2,142250.0,gene
HPX,142290.0,gene
HBZ,142310.0,gene
SERPIND1,142360.0,gene
HCK,142370.0,gene
HLF,142385.0,gene
MST1,142408.0,gene
HGF,142409.0,gene
HNF1A,142410.0,gene
HPN,142440.0,gene
NRG1,142445.0,gene
SDC2,142460.0,gene
HSPG2,142461.0,gene
DDX39B,142560.0,gene
HK3,142570.0,gene
PRRC2A,142580.0,gene
BAG6,142590.0,gene
HK1,142600.0,gene
GPANK1,142610.0,gene
ABHD16A,142620.0,gene
HPCA,142622.0,gene
HRG,142640.0,gene
HDLBP,142695.0,gene
HTN1,142701.0,gene
HTN3,142702.0,gene
HRH2,142703.0,gene
HDC,142704.0,gene
HRC,142705.0,gene
H1-0,142708.0,gene
H1-1,142709.0,gene
H1-2,142710.0,gene
H1-5,142711.0,gene
H1-6,142712.0,gene
H2AC18,142720.0,gene
H4C14,142750.0,gene
H2AZ1,142763.0,gene
RFX2,142765.0,gene
H3C14,142780.0,gene
CD74,142790.0,gene
HLA-A,142800.0,gene
HARS1,142810.0,gene
HLA-B,142830.0,gene/phenotype
HLA-C,142840.0,gene
HLA-DMA,142855.0,gene
HLA-DMB,142856.0,gene
HLA-DRB1,142857.0,gene
HLA-DPB1,142858.0,gene
HLA-DRA,142860.0,gene
HLA-G,142871.0,gene
HLA-DPA1,142880.0,gene
HMGCR,142910.0,gene/phenotype
HLA-DOA,142930.0,gene
HMGCS1,142940.0,gene
HOXA7,142950.0,gene
HOXA6,142951.0,gene
HOXA5,142952.0,gene
HOXA4,142953.0,gene
HOXA3,142954.0,gene
HOXA1,142955.0,gene
HOXA9,142956.0,gene
HOXA10,142957.0,gene
HOXA11,142958.0,gene
HOXA13,142959.0,gene
HOXB5,142960.0,gene
HOXB6,142961.0,gene
HOXB7,142962.0,gene
HOXB8,142963.0,gene
HOXB9,142964.0,gene
HOXB4,142965.0,gene
HOXB3,142966.0,gene
HOXB2,142967.0,gene
HOXB1,142968.0,gene
HOXC8,142970.0,gene
HOXC9,142971.0,gene
HOXC6,142972.0,gene
HOXC5,142973.0,gene
HOXC4,142974.0,gene
HOXC12,142975.0,gene
HOXC13,142976.0,gene
HOXD3,142980.0,gene
HOXD4,142981.0,gene
HOXD9,142982.0,gene
MSX1,142983.0,gene
HOXD10,142984.0,gene
HOXD8,142985.0,gene
HOXD11,142986.0,gene
HOXD1,142987.0,gene
HOXD12,142988.0,gene
HOXD13,142989.0,gene
EVX2,142991.0,gene
HMX1,142992.0,gene
VSX2,142993.0,gene
MNX1,142994.0,gene
HLX,142995.0,gene
EVX1,142996.0,gene
HLA-E,143010.0,gene
RASSF7,143023.0,gene
GNL1,143024.0,gene
HRES1,143025.0,gene
CD9,143030.0,gene
HIVEP2,143054.0,gene
CCNT1,143055.0,gene
FOXN2,143089.0,gene
HLA-F,143110.0,gene
MEA1,143170.0,gene
HADHB,143450.0,gene
HTOR,143460.0,predominantly phenotypes
ACSM3,145505.0,gene
ICAM2,146630.0,gene
ICAM3,146631.0,gene
ITIH2,146640.0,gene
ITIH3,146650.0,gene
IL7,146660.0,gene
IL7R,146661.0,gene
IDE,146680.0,gene
IMPDH1,146690.0,gene
IMPDH2,146691.0,gene
IL2RB,146710.0,gene
IGFBP1,146730.0,gene
IGFBP2,146731.0,gene
IGFBP3,146732.0,gene
