Gene,disease_name,evidence_level,Typical inheritance,Penetrance,pediatric_onset,babyseq_category,meets_ngsr,Reason for BabySeq category,Pediatric disease gene in Bell 2011,pubmed_ids,iba_panel,Reviewed,evidence_score,penetrance_score,category_score,inheritance_code,is_pediatric,is_category_a,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR,actionability_index
EXT2,"Exostoses, multiple, type 2",Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"9463333, 15586175, 8894688, 24532482, 10480354","SK, HYPOTO",Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0
EYA1,Branchiootorenal syndrome,Definitive,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"19206155, 12404110, 18220287, 23840632, 9361030, 15146463","HL, REN",Sept 2016 - Oct 2016,4.0,1.0,3.0,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
EYA4,"Deafness, autosomal dominant",Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"11159937, 17568404","HL, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.75
EZH2,Weaver syndrome 2,Strong,AD,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"22177091, 22190405, 24214728",GLY,Sept 2016 - Oct 2016,3.0,1.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
F11,Factor XI deficiency,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"3369441, 10606881,  12586617","THROM, AN_TH",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
F2,Prothrombin deficiency,Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"1334372, 1421398, 16543981, 11154146, 10651742 ",THROM,Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
F5,Risk for deep vein thrombosis,Definitive,AR,LOW (A),Yes,C,0,Low penetrance,Y,"8164741,  8979136, 11583312, 19652888, 21055512",THROM,Sept 2016 - Oct 2016,4.0,0.2,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667
F8,Hemophilia A,Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"15741993, 11857744, 3131627, 16551972",AN_TH,Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
F9,Hemophilia B,Definitive,XLR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,,"9556658, 5420360, 7937052, 10874302, 15086324, 15921378, 8594556","THROM, AN_TH",Sept 2016 - Oct 2016,4.0,1.0,3.0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
FAAH2,Autism spectrum disorder,Limited,XLR,UNKNOWN,Yes,C,0,Limited evidence for gene's role in disease,,23352160,,Sept 2016 - Oct 2016,1.0,0.5,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664
FAH,"Tyrosinemia, type I",Definitive,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"11209059, 15759101, 8829657, 8557261, 9633815, 23430822","BIL, THROM, IEM, GLY, REN",Sept 2016 - Oct 2016,4.0,1.0,3.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0
FAM111B,"Hereditary fibrosing poikiloderma with tendon contracture, myopathy, and pulmonary fibrosis",Moderate,AD,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"24268661, 26471370",HYPOTO,Sept 2016 - Oct 2016,2.0,0.85,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14166666666666666
FAM126A,Hypomyelination and congenital cataract,Strong,AR,HIGH (A),Yes,A,1,Strong evidence for highly penetrant childhood-onset disease,Y,"17683097, 21911699, 16951682, 23998934, 22749724","SEIZ, HYPOTO",Sept 2016 - Oct 2016,3.0,1.0,3.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.75
FAM134B,"Neuropathy, hereditary sensory and autonomic, type IIB",Moderate,AR,HIGH (B),Yes,C,0,Moderate evidence for gene's role in disease,,"19838196, 24327336",HYPOTO,Sept 2016 - Oct 2016,2.0,0.85,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14166666666666666
