GeneSym	OMIMID	GeneID
CHDS9	OMIM:612030	100188877
CHDT3	OMIM:614954	101154642
CHED1	OMIM:121700	8197
CHIT1	OMIM:600031	1118
CHKB	OMIM:612395	1120
CHM	OMIM:300390	1121
CHMP1A	OMIM:164010	5119
CHMP2B	OMIM:609512	25978
CHMP4B	OMIM:610897	128866
CHN1	OMIM:118423	1123
CHNG3	OMIM:609893	780915
CHRDL1	OMIM:300350	91851
CHRM3	OMIM:118494	1131
CHRNA2	OMIM:118502	1135
CHRNA4	OMIM:118504	1137
CHRNA7	OMIM:118511	1139
CHRNB2	OMIM:118507	1141
CHST14	OMIM:608429	113189
CHST3	OMIM:603799	9469
CHST6	OMIM:605294	4166
CHSY1	OMIM:608183	22856
CHUK	OMIM:600664	1147
CIB2	OMIM:605564	10518
CIDEC	OMIM:612120	63924
CIHL	OMIM:613290	100381207
CILD4	OMIM:608646	408257
CILD8	OMIM:612274	100190786
CILP	OMIM:603489	8483
CIMT	OMIM:608447	404677
CINN	OMIM:611109	100188835
CIRH1A	OMIM:607456	84916
CISD2	OMIM:611507	493856
CITED2	OMIM:602937	10370
CKAP2L	OMIM:616174	150468
CKBE	OMIM:123270	1156
CLCF1	OMIM:607672	23529
CLCN1	OMIM:118425	1180
CLCN2	OMIM:600570	1181
CLCN5	OMIM:300008	1184
CLCN7	OMIM:602727	1186
CLCNKA	OMIM:602024	1187
CLCNKB	OMIM:602023	1188
CLDN1	OMIM:603718	9076
CLDN14	OMIM:605608	23562
CLDN16	OMIM:603959	10686
CLDN19	OMIM:610036	149461
CLEC4M	OMIM:605872	10332
CLEC7A	OMIM:606264	64581
CLIC2	OMIM:300138	1193
CLIC5	OMIM:607293	53405
CLLS1	OMIM:609630	100188791
CLLS2	OMIM:109543	8101
CLLS3	OMIM:612557	100270642
CLLS4	OMIM:612558	100270643
CLLS5	OMIM:612559	100270644
CLN3	OMIM:607042	1201
CLN5	OMIM:608102	1203
CLN6	OMIM:606725	54982
CLN8	OMIM:607837	2055
CLP1	OMIM:608757	10978
CLPP	OMIM:601119	8192
CLQTL1	OMIM:604595	54501
CLQTL2	OMIM:610760	100188817
CLRN1	OMIM:606397	7401
CMD1B	OMIM:600884	1218
CMD1F	OMIM:602067	1222
